Date,Bans
2/9/2016,173
2/12/2016,117
2/14/2016,181
2/16/2016,134
2/18/2016,103
2/19/2016,324
2/20/2016,238
2/22/2016,141
2/24/2016,120
2/28/2016,177
3/2/2016,123
3/5/2016,147
3/8/2016,136
3/9/2016,107
3/12/2016,157
3/13/2016,164
3/16/2016,131
3/19/2016,167
3/20/2016,176
3/22/2016,171
3/25/2016,186
3/27/2016,156
3/29/2016,181
4/1/2016,115
4/3/2016,190
4/4/2016,137
4/5/2016,135
4/6/2016,167
4/9/2016,202
4/13/2016,140
4/14/2016,133
4/19/2016,225
4/22/2016,196
4/23/2016,186
4/27/2016,155
4/30/2016,283
5/2/2016,207
5/3/2016,271
5/7/2016,174
5/10/2016,135
5/13/2016,142
5/15/2016,236
5/19/2016,117
5/24/2016,162
5/26/2016,135
5/28/2016,212
5/31/2016,209
6/3/2016,244
6/7/2016,244
6/9/2016,182
6/13/2016,225
6/16/2016,114
6/17/2016,187
6/20/2016,200
6/23/2016,198
6/25/2016,151
6/27/2016,191
6/29/2016,208
7/2/2016,269
7/4/2016,177
7/6/2016,198
7/7/2016,160
7/9/2016,183
7/13/2016,162
7/16/2016,152
7/19/2016,140
7/23/2016,183
7/26/2016,130
7/29/2016,192
7/30/2016,198
